Date,Open,High,Low,Close*,AdjClose**,Volume
2022-04-18,4385.63,4488.29,4370.30,4459.45,4459.45,10385310000
2022-04-11,4462.64,4471.00,4381.34,4392.59,4392.59,13812410000
2022-04-04,4547.97,4593.45,4450.04,4488.28,4488.28,19383860000
2022-03-28,4541.09,4637.30,4507.57,4545.86,4545.86,19212230000
2022-03-21,4462.40,4546.03,4424.30,4543.06,4543.06,19089240000
2022-03-14,4202.75,4465.40,4161.72,4463.12,4463.12,24946690000
2022-03-07,4327.01,4327.01,4157.87,4204.31,4204.31,23849630000
2022-02-28,4354.17,4416.78,4279.54,4328.87,4328.87,22302830000
2022-02-21,4332.74,4385.34,4114.65,4384.65,4384.65,16834460000
2022-02-14,4412.61,4489.55,4327.22,4348.87,4348.87,17775970000
2022-02-07,4505.75,4590.03,4401.41,4418.64,4418.64,19119200000
2022-01-31,4431.79,4595.31,4414.02,4500.53,4500.53,18846100000
2022-01-24,4356.32,4453.23,4222.62,4431.85,4431.85,21218590000
2022-01-17,4632.24,4632.24,4395.34,4397.94,4397.94,14131200000
2022-01-10,4655.34,4748.83,4582.24,4662.85,4662.85,17126800000
2022-01-03,4778.14,4818.62,4662.74,4677.03,4677.03,16800900000
2021-12-27,4733.99,4808.93,4733.99,4766.18,4766.18,11687720000
2021-12-20,4587.90,4740.74,4531.10,4725.79,4725.79,10594350000
2021-12-13,4710.30,4731.99,4600.22,4620.64,4620.64,19184960000
2021-12-06,4548.37,4713.57,4540.51,4712.02,4712.02,15411530000
2021-11-29,4628.75,4672.95,4495.12,4538.43,4538.43,20242840000
2021-11-22,4712.00,4743.83,4585.43,4594.62,4594.62,11775840000
2021-11-15,4689.30,4717.75,4672.78,4697.96,4697.96,15279660000
2021-11-08,4701.48,4714.92,4630.86,4682.85,4682.85,15646510000
2021-11-01,4610.62,4718.50,4595.06,4697.53,4697.53,16397220000
2021-10-25,4553.69,4608.08,4537.36,4605.38,4605.38,16206040000
2021-10-18,4463.72,4559.67,4447.47,4544.90,4544.90,13966070000
2021-10-11,4385.44,4475.82,4329.92,4471.37,4471.37,13758090000
2021-10-04,4348.84,4429.97,4278.94,4391.34,4391.34,14795520000
2021-09-27,4442.12,4457.30,4288.52,4357.04,4357.04,15555390000
2021-09-20,4402.95,4465.40,4305.91,4455.48,4455.48,15697030000
2021-09-13,4474.81,4492.99,4427.76,4432.99,4432.99,17763120000
2021-09-06,4535.38,4535.38,4457.66,4458.58,4458.58,11793790000
2021-08-30,4513.76,4545.85,4513.76,4535.43,4535.43,14256180000
2021-08-23,4450.29,4513.33,4450.29,4509.37,4509.37,14124930000
2021-08-16,4461.65,4480.26,4367.73,4441.67,4441.67,14544990000
2021-08-09,4437.77,4468.37,4424.74,4468.00,4468.00,13718270000
2021-08-02,4406.86,4440.82,4373.00,4436.52,4436.52,15182090000
2021-07-26,4409.58,4429.97,4372.51,4395.26,4395.26,14952430000
2021-07-19,4296.40,4415.18,4233.13,4411.79,4411.79,17267170000
2021-07-12,4372.41,4393.68,4322.53,4327.16,4327.16,15756840000
2021-07-05,4356.46,4371.60,4289.37,4369.55,4369.55,12813860000
2021-06-28,4284.90,4355.43,4274.67,4352.34,4352.34,15859180000
2021-06-21,4173.40,4286.12,4173.40,4280.70,4280.70,19163010000
2021-06-14,4248.31,4257.16,4164.40,4166.45,4166.45,20949640000
2021-06-07,4229.34,4249.74,4208.41,4247.44,4247.44,18389070000
2021-05-31,4216.52,4234.12,4167.93,4229.89,4229.89,17050410000
2021-05-24,4170.16,4218.36,4170.16,4204.11,4204.11,19443140000
2021-05-17,4169.92,4188.72,4061.41,4155.86,4155.86,16716150000
2021-05-10,4228.29,4236.39,4056.88,4173.85,4173.85,17946860000
2021-05-03,4191.98,4238.04,4128.59,4232.60,4232.60,21049220000
2021-04-26,4185.03,4218.78,4174.85,4181.17,4181.17,19777170000
2021-04-19,4179.80,4194.17,4118.38,4180.17,4180.17,19795190000
2021-04-12,4124.71,4191.31,4114.82,4185.47,4185.47,19468590000
2021-04-05,4034.44,4129.48,4034.44,4128.80,4128.80,19677100000
2021-03-29,3969.31,4020.63,3943.25,4019.87,4019.87,17439630000
2021-03-22,3916.48,3978.19,3853.50,3974.54,3974.54,24132360000
2021-03-15,3942.96,3983.87,3886.75,3913.10,3913.10,25796900000
2021-03-08,3844.39,3960.27,3819.25,3943.34,3943.34,26945080000
2021-03-01,3842.51,3914.50,3723.34,3841.94,3841.94,30700830000
2021-02-22,3885.55,3928.65,3789.54,3811.15,3811.15,31119200000
2021-02-15,3939.61,3950.43,3885.03,3906.71,3906.71,19353010000
2021-02-08,3892.59,3937.23,3884.94,3934.83,3934.83,22694360000
2021-02-01,3731.17,3894.56,3725.62,3886.83,3886.83,25430390000
2021-01-25,3851.68,3870.90,3694.12,3714.24,3714.24,36413520000
2021-01-18,3781.88,3861.45,3780.37,3841.47,3841.47,19099620000
2021-01-11,3803.14,3823.60,3749.62,3768.25,3768.25,24551330000
2021-01-04,3764.61,3826.69,3662.71,3824.68,3824.68,25484320000
2020-12-28,3723.03,3760.20,3723.03,3756.07,3756.07,13232200000
2020-12-21,3684.28,3711.24,3636.48,3703.06,3703.06,14413820000
2020-12-14,3675.27,3726.70,3645.84,3709.41,3709.41,24265420000
2020-12-07,3694.73,3712.39,3633.40,3663.46,3663.46,23533560000
2020-11-30,3634.18,3699.20,3594.39,3699.12,3699.12,26902810000
2020-11-23,3566.82,3644.31,3552.77,3638.35,3638.35,18984870000
2020-11-16,3600.16,3628.51,3543.84,3557.54,3557.54,23922170000
2020-11-09,3583.04,3645.99,3511.91,3585.15,3585.15,28790600000
2020-11-02,3296.20,3529.05,3279.74,3509.44,3509.44,22988840000
2020-10-26,3441.42,3441.42,3233.94,3269.96,3269.96,22808450000
2020-10-19,3493.66,3502.42,3415.34,3465.39,3465.39,19895410000
2020-10-12,3500.02,3549.85,3440.89,3483.81,3483.81,19268280000
2020-10-05,3367.27,3482.34,3354.54,3477.14,3477.14,19733380000
2020-09-28,3333.90,3397.18,3323.69,3348.42,3348.42,20352550000
2020-09-21,3285.57,3323.35,3209.45,3298.46,3298.46,21547840000
2020-09-14,3363.56,3428.92,3292.40,3319.47,3319.47,24034260000
2020-09-07,3371.88,3425.55,3310.47,3340.97,3340.97,16483130000
2020-08-31,3509.73,3588.11,3349.63,3426.96,3426.96,22040710000
2020-08-24,3418.09,3509.23,3413.13,3508.01,3508.01,18887790000
2020-08-17,3380.86,3399.96,3354.69,3397.16,3397.16,18785350000
2020-08-10,3356.04,3387.89,3326.44,3372.85,3372.85,20016990000
2020-08-03,3288.26,3352.54,3284.53,3351.28,3351.28,22369880000
2020-07-27,3219.84,3272.17,3204.13,3271.12,3271.12,22039370000
2020-07-20,3224.29,3279.99,3200.05,3215.63,3215.63,20959710000
2020-07-13,3205.08,3238.28,3127.66,3224.73,3224.73,21991770000
2020-07-06,3155.29,3186.82,3115.70,3185.04,3185.04,23572210000
2020-06-29,3018.59,3165.81,2999.74,3130.01,3130.01,17793010000
2020-06-22,3094.42,3154.90,3004.63,3009.05,3009.05,27870950000
2020-06-15,2993.76,3155.53,2965.66,3097.74,3097.74,28876100000
2020-06-08,3199.92,3233.13,2984.47,3041.31,3041.31,34241980000
2020-06-01,3038.78,3211.72,3031.54,3193.93,3193.93,30895920000
2020-05-25,3004.08,3068.67,2969.75,3044.31,3044.31,24886040000
2020-05-18,2913.86,2980.29,2913.86,2955.45,2955.45,25246330000
2020-05-11,2915.46,2945.82,2766.64,2863.70,2863.70,27177120000
2020-05-04,2815.01,2932.16,2797.85,2929.80,2929.80,24736450000
2020-04-27,2854.65,2954.86,2821.61,2830.71,2830.71,28763560000
2020-04-20,2845.62,2868.98,2727.10,2836.74,2836.74,26476650000
2020-04-13,2782.46,2879.22,2721.17,2874.56,2874.56,27017230000
2020-04-06,2578.28,2818.57,2574.57,2789.82,2789.82,27169090000
2020-03-30,2558.98,2641.39,2447.49,2488.65,2488.65,30804590000
2020-03-23,2290.71,2637.01,2191.86,2541.47,2541.47,37182690000
2020-03-16,2508.59,2562.98,2280.52,2304.92,2304.92,41887220000
2020-03-09,2863.89,2882.59,2478.86,2711.02,2711.02,40521170000
2020-03-02,2974.28,3136.72,2901.54,2972.37,2972.37,29895510000
2020-02-24,3257.61,3259.81,2855.84,2954.22,2954.22,31535270000
2020-02-17,3369.04,3393.52,3328.45,3337.75,3337.75,15253460000
2020-02-10,3318.28,3385.09,3317.77,3380.16,3380.16,18033560000
2020-02-03,3235.66,3347.96,3235.66,3327.71,3327.71,19469980000
2020-01-27,3247.16,3293.47,3214.68,3225.52,3225.52,19249400000
2020-01-20,3321.03,3337.77,3281.53,3295.47,3295.47,15197180000
2020-01-13,3271.13,3329.88,3268.43,3329.62,3329.62,18071600000
2020-01-06,3217.55,3282.99,3214.64,3265.35,3265.35,17666700000
2019-12-30,3240.09,3258.14,3212.03,3234.85,3234.85,12826640000
2019-12-23,3226.05,3247.93,3220.51,3240.02,3240.02,8946500000
2019-12-16,3183.63,3225.65,3183.63,3221.22,3221.22,22078130000
2019-12-09,3141.86,3182.68,3126.09,3168.80,3168.80,17669880000
2019-12-02,3143.85,3150.60,3070.33,3145.91,3145.91,17452390000
2019-11-25,3117.44,3154.26,3117.44,3140.98,3140.98,12883230000
2019-11-18,3117.91,3127.64,3091.41,3110.29,3110.29,18008990000
2019-11-11,3080.33,3120.46,3075.82,3120.46,3120.46,16622540000
2019-11-04,3078.96,3097.77,3065.89,3093.08,3093.08,20734960000
2019-10-28,3032.12,3066.95,3023.19,3066.91,3066.91,18956670000
2019-10-21,2996.48,3027.39,2991.21,3022.55,3022.55,17251350000
2019-10-14,2965.81,3008.29,2962.94,2986.20,2986.20,15500580000
2019-10-07,2944.23,2993.28,2892.66,2970.27,2970.27,15821120000
2019-09-30,2967.07,2992.53,2855.94,2952.01,2952.01,17212640000
2019-09-23,2983.50,3007.98,2945.53,2961.79,2961.79,16694510000
2019-09-16,2996.41,3021.99,2978.57,2992.07,2992.07,20728050000
2019-09-09,2988.43,3020.74,2957.01,3007.39,3007.39,19633130000
2019-09-02,2909.01,2985.86,2891.85,2978.71,2978.71,13689030000
2019-08-26,2866.70,2940.43,2853.05,2926.46,2926.46,15673290000
2019-08-19,2913.48,2939.08,2834.97,2847.11,2847.11,16118550000
2019-08-12,2907.07,2943.31,2825.51,2888.68,2888.68,18553910000
2019-08-05,2898.07,2938.72,2822.12,2918.65,2918.65,20616730000
2019-07-29,3024.47,3025.61,2914.11,2932.05,2932.05,20098430000
2019-07-22,2981.93,3027.98,2976.65,3025.86,3025.86,16649220000
2019-07-15,3017.80,3017.80,2973.09,2976.61,2976.61,15904160000
2019-07-08,2979.77,3013.92,2963.44,3013.77,3013.77,15216580000
2019-07-01,2971.41,2995.84,2952.22,2990.41,2990.41,11118040000
2019-06-24,2951.42,2954.92,2912.99,2941.76,2941.76,18736050000
2019-06-17,2889.75,2964.15,2887.30,2950.46,2950.46,18441710000
2019-06-10,2885.83,2910.61,2874.68,2886.98,2886.98,15783900000
2019-06-03,2751.53,2884.97,2728.81,2873.34,2873.34,17942620000
2019-05-27,2830.03,2840.51,2750.52,2752.06,2752.06,15076270000
2019-05-20,2841.94,2868.88,2805.49,2826.06,2826.06,16479450000
2019-05-13,2840.19,2892.15,2801.43,2859.53,2859.53,16938710000
2019-05-06,2908.89,2937.32,2825.39,2881.40,2881.40,17602830000
2019-04-29,2940.58,2954.13,2900.50,2945.64,2945.64,17800970000
2019-04-22,2898.78,2939.88,2896.35,2939.88,2939.88,16755720000
2019-04-15,2908.32,2918.00,2891.90,2905.03,2905.03,13599690000
2019-04-08,2888.46,2910.54,2873.33,2907.41,2907.41,15751420000
2019-04-01,2848.63,2893.24,2848.63,2892.74,2892.74,16459900000
2019-03-25,2796.01,2836.03,2785.02,2834.40,2834.40,16914430000
2019-03-18,2822.61,2860.31,2800.47,2800.71,2800.71,18727610000
2019-03-11,2747.61,2830.73,2747.61,2822.48,2822.48,20361870000
2019-03-04,2814.37,2816.88,2722.27,2743.07,2743.07,18620090000
2019-02-25,2804.35,2813.49,2775.13,2803.69,2803.69,19586400000
2019-02-18,2769.28,2794.20,2764.55,2792.67,2792.67,14356680000
2019-02-11,2712.40,2775.66,2703.79,2775.60,2775.60,18338580000
2019-02-04,2706.49,2738.98,2681.83,2707.88,2707.88,18114780000
2019-01-28,2644.97,2716.66,2624.06,2706.53,2706.53,19661740000
2019-01-21,2657.88,2672.38,2612.86,2664.76,2664.76,14490970000
2019-01-14,2580.31,2675.47,2570.41,2670.71,2670.71,18859550000
2019-01-07,2535.61,2597.82,2524.56,2596.26,2596.26,19379210000
2018-12-31,2498.94,2538.07,2443.96,2531.94,2531.94,15212300000
2018-12-24,2400.56,2520.27,2346.58,2485.74,2485.74,14647150000
2018-12-17,2590.75,2601.13,2408.55,2416.62,2416.62,27409960000
2018-12-10,2630.86,2685.44,2583.23,2599.95,2599.95,19978530000
2018-12-03,2790.50,2800.18,2621.53,2633.08,2633.08,18044060000
2018-11-26,2649.97,2760.88,2649.97,2760.17,2760.17,19100190000
2018-11-19,2730.74,2733.16,2631.09,2632.56,2632.56,13016000000
2018-11-12,2773.93,2775.99,2670.75,2736.27,2736.27,20319060000
2018-11-05,2726.37,2815.15,2717.94,2781.01,2781.01,18698510000
2018-10-29,2682.65,2756.55,2603.54,2723.06,2723.06,23838850000
2018-10-22,2773.94,2778.94,2628.16,2658.69,2658.69,21802950000
2018-10-15,2763.83,2816.94,2749.03,2767.78,2767.78,17233120000
2018-10-08,2877.53,2894.83,2710.51,2767.13,2767.13,20208740000
2018-10-01,2926.29,2939.86,2869.29,2885.57,2885.57,17190620000
2018-09-24,2921.83,2931.15,2903.28,2913.98,2913.98,16539460000
2018-09-17,2903.83,2940.91,2886.16,2929.67,2929.67,18247730000
2018-09-10,2881.39,2908.30,2866.78,2904.98,2904.98,15300720000
2018-09-03,2896.96,2900.18,2864.12,2871.68,2871.68,12404170000
2018-08-27,2884.69,2916.50,2884.69,2901.52,2901.52,14011570000
2018-08-20,2853.93,2876.16,2850.62,2874.69,2874.69,13894820000
2018-08-13,2835.46,2855.63,2802.49,2850.13,2850.13,16024470000
2018-08-06,2840.29,2863.43,2825.81,2833.28,2833.28,15312600000
2018-07-30,2819.00,2840.38,2796.34,2840.35,2840.35,17132630000
2018-07-23,2799.17,2848.03,2795.14,2818.82,2818.82,16947010000
2018-07-16,2797.36,2816.76,2789.24,2801.83,2801.83,15449650000
2018-07-09,2775.62,2804.53,2770.73,2801.31,2801.31,14514320000
2018-07-02,2704.95,2764.41,2698.95,2759.82,2759.82,10493320000
2018-06-25,2742.94,2746.09,2691.99,2718.37,2718.37,17980020000
2018-06-18,2765.79,2774.99,2743.19,2754.88,2754.88,19026830000
2018-06-11,2780.18,2791.47,2761.73,2779.66,2779.66,19368250000
2018-06-04,2741.67,2779.90,2739.51,2779.03,2779.03,17380480000
2018-05-28,2705.11,2736.93,2676.81,2734.62,2734.62,15217440000
2018-05-21,2735.39,2742.24,2707.38,2721.33,2721.33,15963780000
2018-05-14,2738.47,2742.10,2701.91,2712.97,2712.97,16310100000
2018-05-07,2680.34,2732.86,2655.20,2727.72,2727.72,17060780000
2018-04-30,2682.51,2682.87,2594.62,2663.42,2663.42,18483840000
2018-04-23,2675.40,2683.55,2612.67,2669.91,2669.91,17108410000
2018-04-16,2670.10,2717.49,2660.61,2670.14,2670.14,16375430000
2018-04-09,2617.18,2680.26,2610.79,2656.30,2656.30,15609880000
2018-04-02,2633.45,2672.08,2553.80,2604.47,2604.47,16820340000
2018-03-26,2619.35,2674.78,2593.06,2640.87,2640.87,14647940000
2018-03-19,2741.38,2741.38,2585.89,2588.26,2588.26,17533550000
2018-03-12,2790.54,2801.90,2741.47,2752.01,2752.01,18750700000
2018-03-05,2681.06,2786.57,2675.75,2786.57,2786.57,17051190000
2018-02-26,2757.37,2789.15,2647.32,2691.25,2691.25,19786810000
2018-02-19,2722.99,2747.76,2697.77,2747.30,2747.30,14297470000
2018-02-12,2636.75,2754.42,2622.45,2732.22,2732.22,18854770000
2018-02-05,2741.06,2763.39,2532.69,2619.55,2619.55,26787200000
2018-01-29,2867.23,2870.62,2759.97,2762.13,2762.13,20065340000
2018-01-22,2809.16,2872.87,2808.12,2872.87,2872.87,18283880000
2018-01-15,2798.96,2810.33,2768.64,2810.30,2810.30,15424920000
2018-01-08,2742.67,2787.85,2736.06,2786.24,2786.24,17487770000
2018-01-01,2683.73,2743.45,2682.36,2743.15,2743.15,13837790000
2017-12-25,2679.09,2692.12,2673.61,2673.61,2673.61,8767680000
2017-12-18,2685.92,2694.97,2676.11,2683.34,2683.34,16007500000
2017-12-11,2652.19,2679.63,2651.47,2675.81,2675.81,19343950000
2017-12-04,2657.19,2665.19,2624.75,2651.50,2651.50,17189740000
2017-11-27,2602.66,2657.74,2598.87,2642.22,2642.22,19454370000
2017-11-20,2579.49,2604.21,2578.24,2602.42,2602.42,10448990000
2017-11-13,2576.53,2590.09,2557.45,2578.85,2578.85,17216450000
2017-11-06,2587.47,2597.02,2566.33,2582.30,2582.30,18566610000
2017-10-30,2577.75,2588.42,2566.17,2587.84,2587.84,18915260000
2017-10-23,2578.08,2582.98,2544.00,2581.07,2581.07,18269710000
2017-10-16,2555.57,2575.44,2547.92,2575.21,2575.21,15178860000
